2011 super output area - lower layer,mnemonic,All categories: Method of travel to work,Bicycle,On foot,per_Bicycle,per_Walk
Hammersmith and Fulham 018E,E01001919,1149,77,70,0.072504708,0.065913371
Hammersmith and Fulham 019A,E01001879,1225,71,122,0.066854991,0.114877589
Hammersmith and Fulham 019B,E01001901,1268,91,84,0.085687382,0.079096045
Hammersmith and Fulham 019C,E01001902,1466,92,133,0.086629002,0.125235405
Hammersmith and Fulham 019D,E01001903,1313,85,99,0.080037665,0.093220339
Hammersmith and Fulham 020A,E01001920,1207,38,108,0.035781544,0.101694915
Hammersmith and Fulham 020B,E01001921,1241,48,99,0.04519774,0.093220339
Hammersmith and Fulham 020C,E01001922,1227,60,85,0.056497175,0.080037665
Hammersmith and Fulham 020D,E01001923,1181,68,77,0.064030132,0.072504708
Hammersmith and Fulham 020E,E01001924,1197,58,83,0.054613936,0.078154426
Hammersmith and Fulham 021A,E01001947,1061,30,101,0.028248588,0.095103578
Hammersmith and Fulham 021B,E01001948,1610,97,108,0.0913371,0.101694915
Hammersmith and Fulham 021C,E01001949,1256,80,83,0.075329567,0.078154426
Hammersmith and Fulham 021D,E01001950,1226,67,80,0.063088512,0.075329567
Hammersmith and Fulham 021E,E01001951,1313,50,110,0.047080979,0.103578154
Hammersmith and Fulham 021F,E01001953,1104,49,121,0.04613936,0.11393597
Hammersmith and Fulham 022A,E01001904,1308,104,97,0.097928437,0.0913371
Hammersmith and Fulham 022B,E01001905,1360,83,101,0.078154426,0.095103578
Hammersmith and Fulham 022C,E01001906,1235,68,91,0.064030132,0.085687382
Hammersmith and Fulham 022D,E01001907,1010,51,67,0.048022599,0.063088512
Hammersmith and Fulham 023A,E01001935,1707,114,145,0.107344633,0.13653484
Hammersmith and Fulham 023C,E01001939,1838,60,159,0.056497175,0.149717514
Hammersmith and Fulham 023D,E01032788,876,65,80,0.061205273,0.075329567
Hammersmith and Fulham 023E,E01032789,928,39,80,0.036723164,0.075329567
Hammersmith and Fulham 023F,E01032790,826,24,52,0.02259887,0.048964218
Hammersmith and Fulham 024A,E01001915,1053,62,32,0.058380414,0.030131827
Hammersmith and Fulham 024B,E01001916,1019,58,64,0.054613936,0.060263653
Hammersmith and Fulham 024C,E01001926,1136,51,76,0.048022599,0.071563089
Hammersmith and Fulham 024D,E01001952,1419,88,105,0.082862524,0.098870056
Hammersmith and Fulham 025A,E01001925,1183,61,80,0.057438795,0.075329567
Hammersmith and Fulham 025B,E01001934,1231,48,107,0.04519774,0.100753296
Hammersmith and Fulham 025C,E01001937,1475,88,116,0.082862524,0.109227872
Hammersmith and Fulham 025D,E01001938,1147,74,92,0.069679849,0.086629002
Haringey 001A,E01001969,1489,23,47,0.02165725,0.044256121
Haringey 001B,E01001971,1476,16,57,0.015065913,0.053672316
Haringey 001C,E01001974,1777,33,45,0.031073446,0.042372881
Haringey 001D,E01001975,1410,36,44,0.033898305,0.041431262
Haringey 002A,E01002036,1136,7,49,0.006591337,0.04613936
Haringey 002B,E01002037,1340,11,35,0.010357815,0.032956685
Haringey 002C,E01002039,1071,5,34,0.004708098,0.032015066
Haringey 002D,E01002040,1447,26,67,0.024482109,0.063088512
Haringey 004A,E01001962,1247,38,42,0.035781544,0.039548023
Haringey 004B,E01001970,1489,9,41,0.008474576,0.038606403
Haringey 004C,E01001972,1270,37,53,0.034839925,0.049905838
Haringey 004D,E01001973,1682,28,50,0.026365348,0.047080979
Haringey 005A,E01002090,1161,7,28,0.006591337,0.026365348
